maxLevel,upgradeRate,mergeInterval,beaverInterval,runtime,numExperiment,avgScore,score_trial_1,score_trial_2,score_trial_3,score_trial_4,score_trial_5,score_trial_6,score_trial_7,score_trial_8,score_trial_9,score_trial_10,score_trial_11,score_trial_12,score_trial_13,score_trial_14,score_trial_15,score_trial_16,score_trial_17,score_trial_18,score_trial_19,score_trial_20,score_trial_21,score_trial_22,score_trial_23,score_trial_24,score_trial_25,score_trial_26,score_trial_27,score_trial_28,score_trial_29,score_trial_30
10,0.1,30,200,30000,30,194353363.5,195737985,205455750,198235905,201226890,190922520,187390365,197909280,187327650,197954985,187424775,198145710,195393585,198069300,187915830,188058690,194983875,192660810,197968290,198221265,202354770,199743450,195862620,193117800,189795690,194261100,191085165,192764910,192354930,189516660,188740350
10,0.1,29,200,30000,30,193430185.53333333,190875266,195361923,189617033,188277515,193418499,199961748,197118742,193423770,187911708,183709735,195470509,187892529,200292660,194707384,195443644,191689227,185411532,199470158,192254927,194967121,188148949,204501720,195917529,199155034,194825442,192457574,197422952,184191722,192727801,196281213
10,0.1,28,200,30000,30,197953648.33333334,193025750,201369094,199545352,193665300,216200730,207908382,192367778,193277482,199478318,197419316,192103102,195959232,202116290,199346500,205417798,200314696,199810258,194821332,197562582,193774040,200851932,192969182,192197474,197686884,199651560,191936370,193360702,192234708,198310268,203927038
10,0.1,27,200,30000,30,198975564.43333334,198224640,201826561,194866819,198677463,204723852,200611601,204594453,198374935,190741533,197052713,198574252,197056883,190633589,196784837,201200332,197087309,206370382,203130065,203535445,201002839,198858593,200409061,192973032,207697773,203834606,193100776,190077299,201651062,205167094,190427134
10,0.1,26,200,30000,30,201230608.86666667,194489218,201727109,204167813,193241353,198826126,200765328,203017617,196906143,211282849,201738660,208788912,206183217,200366771,191512373,205550135,199098911,196507466,211473991,200281033,202584778,194660044,195395790,200207830,203835352,201185659,196122734,206958704,203460598,200557307,206024445
10,0.1,25,200,30000,30,205153928.96666667,209104512,207268484,196346376,208933900,199395981,195816213,206103452,207163166,211594655,195130785,204967459,197993509,203851304,204231340,213390067,215573302,203394106,201730079,204706882,204284233,207252179,197685091,216132967,209085161,202416109,205113070,212186735,207073395,209100150,197593207
10,0.12,30,200,30000,30,195577783.5,203122305,191448195,193391625,197851275,193780620,202209645,195893010,200468115,201639060,192788130,194036145,196339125,205065150,197242605,193111365,200424390,192443850,185876685,193139535,197842260,191884245,192011610,188293605,204184170,194416365,193605615,196660980,193628025,193831290,190704510
10,0.12,29,200,30000,30,199018029.66666666,197090178,200957443,194011660,203388291,197561006,189190361,203275290,201492382,204773155,187157036,195697965,191531950,204990255,204366386,204028092,197650494,207286724,210395850,199945295,199590691,200447188,199524823,189710041,191904353,199424230,202761447,196827760,193037428,197407477,205115639
10,0.12,28,200,30000,30,201184455.26666668,201980546,195121668,201991686,203410476,197339278,207758224,203032466,196233126,208632744,203820076,199866414,195635376,209597362,199660306,202650558,194473538,200806474,197272270,207268822,202599640,204827996,196921234,197682914,196457956,196654824,195695250,208227570,199553656,202561530,207799678
10,0.12,27,200,30000,30,201410351.40000001,205527045,197727879,198937871,201222929,199520239,202883231,202623264,197256228,196187432,191134764,198080941,203390897,208142258,195627450,199995839,199450432,198833474,206347643,206419654,195799375,202275928,202175707,200325728,206232547,205011815,202934511,203634929,200664051,200360950,213585531
10,0.12,26,200,30000,30,205551534.76666668,209099524,210104201,201132561,205102227,196686491,207378213,200671531,205215407,199374002,209625526,198449080,